Query,Entita_Principale,Confidenza,Status,Fallback
probabili formazioni,probabili formazioni,0.0,system_error,True
cambio ora 2025,cambio ora 2025,0.0,system_error,True
spezia - brescia,spezia - brescia,0.0,system_error,True
andrea pucci,andrea pucci,0.0,system_error,True
assalto portavalori,assalto portavalori,0.0,system_error,True
scossa terremoto myanmar,scossa terremoto myanmar,0.0,system_error,True
gil vicente - benfica,gil vicente - benfica,0.0,system_error,True
eprice,eprice,0.0,system_error,True
29 marzo eclissi solare,29 marzo eclissi solare,0.0,system_error,True
cittadinanza italiana ius sanguinis,cittadinanza italiana ius sanguinis,0.0,system_error,True
leverkusen - bochum,leverkusen - bochum,0.0,system_error,True
real sociedad - valladolid,real sociedad - valladolid,0.0,system_error,True
richard jewell,richard jewell,0.0,system_error,True
probabili formazioni serie a,probabili formazioni serie a,0.0,system_error,True
napoli milan,napoli milan,0.0,system_error,True
fulham - crystal palace,fulham - crystal palace,0.0,system_error,True
federico faggin,federico faggin,0.0,system_error,True
pilar fogliati,pilar fogliati,0.0,system_error,True
sciopero treni aprile 2025,sciopero treni aprile 2025,0.0,system_error,True
lecce roma,lecce roma,0.0,system_error,True
viterbo,viterbo,0.0,system_error,True
armando izzo,armando izzo,0.0,system_error,True
ghibli,ghibli,0.0,system_error,True
allerta vento,allerta vento,0.0,system_error,True
le assaggiatrici (film),le assaggiatrici (film),0.0,system_error,True
joao felix,joao felix,0.0,system_error,True
venezia bologna,venezia bologna,0.0,system_error,True
sbk orari,sbk orari,0.0,system_error,True
the voice senior,the voice senior,0.0,system_error,True
inter udinese,inter udinese,0.0,system_error,True
como empoli,como empoli,0.0,system_error,True
mensik tennis,mensik tennis,0.0,system_error,True
miami open 2025 tabellone,miami open 2025 tabellone,0.0,system_error,True
wind warning,wind warning,0.0,system_error,True
ciclismo oggi,ciclismo oggi,0.0,system_error,True
brigitte bardot,brigitte bardot,0.0,system_error,True
orari motogp,orari motogp,0.0,system_error,True
castello sforzesco,castello sforzesco,0.0,system_error,True
fabio balaso,fabio balaso,0.0,system_error,True
azione,azione,0.0,system_error,True
jd,jd,0.0,system_error,True
diego armando maradona,diego armando maradona,0.0,system_error,True
kit sopravvivenza 72 ore,kit sopravvivenza 72 ore,0.0,system_error,True
modena catanzaro,modena catanzaro,0.0,system_error,True
perugia - pineto,perugia - pineto,0.0,system_error,True
carlo ancelotti,carlo ancelotti,0.0,system_error,True
probabili formazioni gazzetta,probabili formazioni gazzetta,0.0,system_error,True
pelicans - warriors,pelicans - warriors,0.0,system_error,True
milan napoli,milan napoli,0.0,system_error,True
babygirl,babygirl,0.0,system_error,True
